day,avg_sentiment,frequency
2015-01-01,0,5
2015-01-03,0.25,2
2015-01-05,0,1
2015-01-06,0,4
2015-01-07,0.16666666666666669,12
2015-01-08,0,2
2015-01-09,0,3
2015-01-10,0.25000000000000006,14
2015-01-11,0,3
2015-01-12,0.10000000000000002,10
2015-01-13,0,18
2015-01-14,0.29166666666666663,12
2015-01-15,0.090909090909090925,11
2015-01-16,0.2857142857142857,7
2015-01-17,0.041666666666666664,12
2015-01-18,0.058823529411764705,17
2015-01-19,0.25,10
2015-01-20,0.25,6
2015-01-21,0.45,10
2015-01-22,0.11111111111111113,9
2015-01-23,0.14285714285714288,14
2015-01-24,0.22222222222222221,9
2015-01-25,0,6
2015-01-26,0.1470588235294118,17
2015-01-27,0.1111111111111111,18
2015-01-28,0,4
2015-01-29,0.045454545454545449,22
2015-01-30,0.083333333333333343,12
2015-01-31,0.083333333333333329,6
2015-02-01,0.33333333333333337,6
2015-02-02,0.15,10
2015-02-03,0.16666666666666666,12
2015-02-04,0.17857142857142855,14
2015-02-05,0.25,14
2015-02-06,0.2,5
2015-02-07,0,1
2015-02-08,0,5
2015-02-09,0.10714285714285714,14
2015-02-10,0.1875,8
2015-02-11,0.14285714285714288,14
2015-02-12,0,3
2015-02-13,0,5
2015-02-14,0.045454545454545449,11
2015-02-15,0,6
2015-02-16,0.1,10
2015-02-17,0.2142857142857143,7
2015-02-18,0,1
2015-02-19,0,4
2015-02-20,0,7
2015-02-21,0.11538461538461538,13
2015-02-22,0.14285714285714288,7
2015-02-23,0,7
2015-02-24,0.049999999999999996,10
2015-02-25,0.045454545454545449,11
2015-02-26,0.38461538461538458,13
2015-02-27,0.045454545454545463,22
2015-02-28,0.3000000000000001,20
2015-03-01,0.26923076923076922,13
2015-03-02,0.16666666666666666,18
2015-03-03,0,4
2015-03-04,0,10
2015-03-05,0,8
2015-03-06,0,6
2015-03-07,0.13333333333333333,15
2015-03-08,0.28125,16
2015-03-09,0.17857142857142855,14
2015-03-10,0.22500000000000003,20
2015-03-11,0.13333333333333336,15
2015-03-12,0.041666666666666664,12
2015-03-13,0.062500000000000014,16
2015-03-14,0.57142857142857151,7
2015-03-15,0.1,5
2015-03-16,0.11904761904761907,21
2015-03-17,0.062500000000000014,8
2015-03-18,0,16
2015-03-19,0.090909090909090925,11
2015-03-20,0.076923076923076913,26
2015-03-21,0,12
2015-03-22,0.16666666666666669,6
2015-03-23,0,5
2015-03-24,0.25000000000000006,12
2015-03-25,0,13
2015-03-26,0,5
2015-03-27,0.33333333333333331,18
2015-03-28,0.125,8
2015-03-29,0.25,2
2015-03-30,0.083333333333333343,12
2015-03-31,0,5
2015-04-01,0.033333333333333333,15
2015-04-02,0.071428571428571438,7
2015-04-03,0.14285714285714288,7
2015-04-06,1,2
2015-04-07,0.44444444444444442,9
2015-04-08,0.16666666666666669,15
2015-04-09,0.049999999999999996,20
2015-04-10,0.25,14
2015-04-11,0.75,4
2015-04-12,0,1
2015-04-13,0.099999999999999992,25
2015-04-14,0.23333333333333334,15
2015-04-15,0.32352941176470595,17
2015-04-16,0.18181818181818185,11
2015-04-17,0,9
2015-04-18,0.25000000000000006,8
2015-04-19,0,4
2015-04-20,0.11764705882352941,17
2015-04-21,0.18421052631578946,19
2015-04-22,0.066666666666666666,15
2015-04-23,0,9
2015-04-24,0,3
2015-04-25,0,4
2015-04-26,0,3
2015-04-27,0.22727272727272727,11
2015-04-28,0.041666666666666671,12
2015-04-29,0.10416666666666666,24
2015-04-30,0.055555555555555552,27
2015-05-01,0.29545454545454553,22
2015-05-02,0.16666666666666669,6
